datetime,y_pred (scaled),y_pred
2020-07-02,0.10480349344978165,101.0
2020-07-03,0.11445355415344238,107.62959170341492
2020-07-04,0.11558391153812408,108.40614722669125
2020-07-05,0.09850811958312988,96.67507815361023
2020-07-06,0.07963354885578156,83.70824806392193
2020-07-07,0.08386251330375671,86.61354663968086
2020-07-08,0.11049574613571167,104.91057759523392
2020-07-09,0.11666379868984222,109.14802969992161
2020-07-10,0.2143232524394989,176.24007442593575
2020-07-11,0.29332318902015686,230.51303085684776
