datetime,y_pred,y_pred_lower,y_pred_upper
2020-07-02,117.55741741056465,16.02793062690516,219.08690419422413
2020-07-03,115.86173824108191,-21.944848137930066,253.66832462009387
2020-07-04,112.94571014849092,-47.356634896521854,273.24805519350366
2020-07-05,106.34124127962484,-77.0050629434544,289.6875455027041
2020-07-06,104.29765087720608,-97.59477126506832,306.19007301948045
2020-07-07,106.35270425994587,-113.61877738200111,326.32418590189286
2020-07-08,111.0014885689668,-125.02675538971877,347.0297325276524
2020-07-09,113.86726215168834,-137.6953565401463,365.42988084352294
2020-07-10,116.33723195462571,-149.61747846232387,382.29194237157526
2020-07-11,110.80198879708057,-168.92853957293863,390.5325171670998
2020-07-12,105.8443911845069,-186.9404001384051,398.6291825074189
